image,label_idx,label,confidence,pred,pred_idx,pred_confidence,correct
ISIC_0030737,2,BCC,0.5405992865562439,BCC,2,0.5405992865562439,1
ISIC_0029323,2,BCC,0.7885289192199707,BCC,2,0.7885289192199707,1
ISIC_0027297,2,BCC,0.8332036137580872,BCC,2,0.8332036137580872,1
ISIC_0029129,2,BCC,0.8568964004516602,BCC,2,0.8568964004516602,1
ISIC_0030230,2,BCC,0.8370271921157837,BCC,2,0.8370271921157837,1
ISIC_0025940,2,BCC,0.8140813708305359,BCC,2,0.8140813708305359,1
ISIC_0032414,2,BCC,0.8718600869178772,BCC,2,0.8718600869178772,1
ISIC_0028168,2,BCC,0.6335622072219849,BCC,2,0.6335622072219849,1
ISIC_0030114,2,BCC,0.6738179922103882,BCC,2,0.6738179922103882,1
ISIC_0031925,2,BCC,0.854580819606781,BCC,2,0.854580819606781,1
ISIC_0025019,2,BCC,0.8251843452453613,BCC,2,0.8251843452453613,1
ISIC_0031789,2,BCC,0.8262191414833069,BCC,2,0.8262191414833069,1
ISIC_0030526,2,BCC,0.8691287040710449,BCC,2,0.8691287040710449,1
ISIC_0029857,2,BCC,0.6349377036094666,BCC,2,0.6349377036094666,1
ISIC_0030233,2,BCC,0.5962345004081726,BCC,2,0.5962345004081726,1
ISIC_0032991,2,BCC,0.5529205203056335,BCC,2,0.5529205203056335,1
ISIC_0025144,2,BCC,0.7877984046936035,BCC,2,0.7877984046936035,1
ISIC_0028147,2,BCC,0.7538180351257324,BCC,2,0.7538180351257324,1
ISIC_0033811,3,AKIEC,0.30021756887435913,BKL,4,0.35367563366889954,0
ISIC_0029362,3,AKIEC,0.22443898022174835,BCC,2,0.5708538293838501,0
ISIC_0029715,3,AKIEC,0.5146751999855042,AKIEC,3,0.5146751999855042,1
ISIC_0024517,3,AKIEC,0.3488929569721222,BCC,2,0.4068991243839264,0
ISIC_0024710,3,AKIEC,0.6455786824226379,AKIEC,3,0.6455786824226379,1
ISIC_0024843,3,AKIEC,0.5292422771453857,AKIEC,3,0.5292422771453857,1
ISIC_0026492,3,AKIEC,0.20991617441177368,DF,5,0.31794798374176025,0
ISIC_0024562,3,AKIEC,0.09407015889883041,BKL,4,0.7858149409294128,0
ISIC_0026645,3,AKIEC,0.670600950717926,AKIEC,3,0.670600950717926,1
ISIC_0032422,3,AKIEC,0.31446319818496704,BKL,4,0.45195937156677246,0
ISIC_0029582,3,AKIEC,0.2539329528808594,BCC,2,0.3449353575706482,0
ISIC_0030175,3,AKIEC,0.676439642906189,AKIEC,3,0.676439642906189,1
ISIC_0025790,3,AKIEC,0.603442370891571,AKIEC,3,0.603442370891571,1
ISIC_0031043,3,AKIEC,0.41737714409828186,AKIEC,3,0.41737714409828186,1
ISIC_0029141,3,AKIEC,0.3886759579181671,AKIEC,3,0.3886759579181671,1
ISIC_0026468,3,AKIEC,0.522147536277771,AKIEC,3,0.522147536277771,1
ISIC_0030549,3,AKIEC,0.4540053606033325,AKIEC,3,0.4540053606033325,1
ISIC_0032897,3,AKIEC,0.43413588404655457,AKIEC,3,0.43413588404655457,1
ISIC_0026327,3,AKIEC,0.4720917046070099,BCC,2,0.47294124960899353,0
ISIC_0024463,3,AKIEC,0.5986726880073547,AKIEC,3,0.5986726880073547,1
ISIC_0024883,4,BKL,0.773644208908081,BKL,4,0.773644208908081,1
ISIC_0033761,4,BKL,0.3984487056732178,NV,1,0.5580611228942871,0
ISIC_0026153,4,BKL,0.82158362865448,BKL,4,0.82158362865448,1
ISIC_0030081,4,BKL,0.6353098154067993,BKL,4,0.6353098154067993,1
ISIC_0024338,4,BKL,0.7360403537750244,BKL,4,0.7360403537750244,1
ISIC_0024445,4,BKL,0.7814799547195435,BKL,4,0.7814799547195435,1
ISIC_0025642,4,BKL,0.28015705943107605,NV,1,0.616442084312439,0
ISIC_0029683,4,BKL,0.5742162466049194,BKL,4,0.5742162466049194,1
ISIC_0032842,4,BKL,0.6162455081939697,BKL,4,0.6162455081939697,1
ISIC_0031029,4,BKL,0.7246868014335632,BKL,4,0.7246868014335632,1
ISIC_0027332,4,BKL,0.43512269854545593,NV,1,0.5041784048080444,0
ISIC_0028343,4,BKL,0.6949215531349182,BKL,4,0.6949215531349182,1
ISIC_0026947,4,BKL,0.7921218872070312,BKL,4,0.7921218872070312,1
ISIC_0028525,4,BKL,0.7433128952980042,BKL,4,0.7433128952980042,1
ISIC_0033124,4,BKL,0.7182238698005676,BKL,4,0.7182238698005676,1
ISIC_0026567,4,BKL,0.8409395813941956,BKL,4,0.8409395813941956,1
ISIC_0031537,4,BKL,0.48726171255111694,BKL,4,0.48726171255111694,1
ISIC_0027083,4,BKL,0.8216800689697266,BKL,4,0.8216800689697266,1
ISIC_0034126,4,BKL,0.6590563654899597,BKL,4,0.6590563654899597,1
ISIC_0029060,4,BKL,0.6572997570037842,BKL,4,0.6572997570037842,1
ISIC_0025903,5,DF,0.16986605525016785,NV,1,0.4089633822441101,0
ISIC_0033891,5,DF,0.5087076425552368,DF,5,0.5087076425552368,1
ISIC_0031344,5,DF,0.497766375541687,DF,5,0.497766375541687,1
ISIC_0025154,5,DF,0.12409024685621262,AKIEC,3,0.5916556715965271,0
ISIC_0027598,5,DF,0.5868499279022217,DF,5,0.5868499279022217,1
ISIC_0028926,5,DF,0.7096249461174011,DF,5,0.7096249461174011,1
ISIC_0034135,5,DF,0.7894072532653809,DF,5,0.7894072532653809,1
ISIC_0030321,5,DF,0.7241218686103821,DF,5,0.7241218686103821,1
ISIC_0028651,5,DF,0.3364529609680176,NV,1,0.5695528388023376,0
ISIC_0029578,5,DF,0.3933562636375427,DF,5,0.3933562636375427,1
ISIC_0027118,5,DF,0.46023717522621155,NV,1,0.46422454714775085,0
ISIC_0032247,5,DF,0.5568514466285706,DF,5,0.5568514466285706,1
ISIC_0024973,5,DF,0.7714098691940308,DF,5,0.7714098691940308,1
ISIC_0025954,5,DF,0.49135345220565796,DF,5,0.49135345220565796,1
ISIC_0025668,5,DF,0.6969066262245178,DF,5,0.6969066262245178,1
ISIC_0033256,5,DF,0.6053251624107361,DF,5,0.6053251624107361,1
ISIC_0025980,5,DF,0.04460853710770607,NV,1,0.6649651527404785,0
ISIC_0029783,5,DF,0.7743896842002869,DF,5,0.7743896842002869,1
ISIC_0030665,5,DF,0.7722132802009583,DF,5,0.7722132802009583,1
ISIC_0033860,5,DF,0.7856972813606262,DF,5,0.7856972813606262,1
ISIC_0031901,6,VASC,0.6522544026374817,VASC,6,0.6522544026374817,1
ISIC_0025578,6,VASC,0.902218759059906,VASC,6,0.902218759059906,1
ISIC_0029889,6,VASC,0.7799361348152161,VASC,6,0.7799361348152161,1
ISIC_0025807,6,VASC,0.8970648646354675,VASC,6,0.8970648646354675,1
ISIC_0024475,6,VASC,0.727895200252533,VASC,6,0.727895200252533,1
ISIC_0032867,6,VASC,0.7631345987319946,VASC,6,0.7631345987319946,1
ISIC_0026068,6,VASC,0.8699862957000732,VASC,6,0.8699862957000732,1
ISIC_0032538,6,VASC,0.9070591330528259,VASC,6,0.9070591330528259,1
ISIC_0033230,6,VASC,0.5267572999000549,VASC,6,0.5267572999000549,1
ISIC_0031090,6,VASC,0.7475600242614746,VASC,6,0.7475600242614746,1
ISIC_0028146,6,VASC,0.9062723517417908,VASC,6,0.9062723517417908,1
ISIC_0026713,6,VASC,0.8624321818351746,VASC,6,0.8624321818351746,1
ISIC_0025250,6,VASC,0.8298132419586182,VASC,6,0.8298132419586182,1
ISIC_0029486,6,VASC,0.6058010458946228,VASC,6,0.6058010458946228,1
ISIC_0024747,6,VASC,0.9127646088600159,VASC,6,0.9127646088600159,1
ISIC_0031950,6,VASC,0.8695845007896423,VASC,6,0.8695845007896423,1
ISIC_0027563,6,VASC,0.8669145703315735,VASC,6,0.8669145703315735,1
ISIC_0030770,6,VASC,0.7204895615577698,VASC,6,0.7204895615577698,1
ISIC_0026467,6,VASC,0.9113009572029114,VASC,6,0.9113009572029114,1
ISIC_0031217,6,VASC,0.8893339037895203,VASC,6,0.8893339037895203,1
