output_path,true_label_name,nearest_wrong_class_name,plain_prompt,suffixed_prompt,source_a_image_path,source_b_image_path,source_a_sample_id,source_b_sample_id,source_a_margin,source_b_margin,circle_lambda,theta,seed,num_inference_steps,guidance_scale,split_ratio,batch_size,latent_noise_std
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_MEL_0002.png,AKIEC,MEL,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0027753.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0024418.jpg,ISIC_0027753,ISIC_0024418,0.0764415264129638,-0.0761671066284179,0.739898976914418,1.5708523988723755,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_MEL_0003.png,AKIEC,MEL,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0031852.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0032329.jpg,ISIC_0031852,ISIC_0032329,0.0222151279449462,0.2518965005874634,0.3307909881369431,1.5723432302474976,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\AKIEC\AKIEC_near_MEL_0004.png,AKIEC,MEL,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,a dermoscopic image of actinic keratosis or intraepithelial carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0028231.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0030191.jpg,ISIC_0028231,ISIC_0030191,0.099362313747406,0.0878820419311523,0.4709177559304253,1.5733798742294312,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_AKIEC_0000.png,BCC,AKIEC,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0031154.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0033979.jpg,ISIC_0031154,ISIC_0033979,0.0052418708801269,-0.0376721024513244,0.6028337233799954,1.5865391492843628,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_AKIEC_0001.png,BCC,AKIEC,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0026687.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0027337.jpg,ISIC_0026687,ISIC_0027337,-0.0169166922569274,0.096842348575592,0.5304534323873732,1.541796326637268,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_AKIEC_0002.png,BCC,AKIEC,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0030644.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0026845.jpg,ISIC_0030644,ISIC_0026845,0.0169578790664672,-0.0538793802261352,0.3059369402946675,1.558701992034912,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_AKIEC_0003.png,BCC,AKIEC,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0028688.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0028964.jpg,ISIC_0028688,ISIC_0028964,-0.0791296958923339,0.0333669185638427,0.7225254695233195,1.5162558555603027,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_AKIEC_0004.png,BCC,AKIEC,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0026845.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0027046.jpg,ISIC_0026845,ISIC_0027046,-0.0538793802261352,0.0172712206840515,0.5955098118779383,1.5393075942993164,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_BKL_0000.png,BCC,BKL,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0024515.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0030782.jpg,ISIC_0024515,ISIC_0030782,0.2940273284912109,0.3408516049385071,0.32452714273925976,1.5607150793075562,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_BKL_0001.png,BCC,BKL,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0032139.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0029341.jpg,ISIC_0032139,ISIC_0029341,0.2138182520866394,0.0156769156455993,0.2680140690304153,1.5551482439041138,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_BKL_0002.png,BCC,BKL,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0031140.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0031824.jpg,ISIC_0031140,ISIC_0031824,0.3731644749641418,0.3056082129478454,0.43460799225609587,1.5502086877822876,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_BKL_0003.png,BCC,BKL,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0025417.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0029647.jpg,ISIC_0025417,ISIC_0029647,0.3339219689369201,0.0508068203926086,0.5262625483724988,1.5545353889465332,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_BKL_0004.png,BCC,BKL,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0026995.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0027858.jpg,ISIC_0026995,ISIC_0027858,0.2981743216514587,0.0463950634002685,0.4648933564403859,1.573180079460144,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_DF_0000.png,BCC,DF,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0032894.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0026902.jpg,ISIC_0032894,ISIC_0026902,0.2532868385314941,0.138123333454132,0.2709144290844289,1.556505560874939,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_DF_0001.png,BCC,DF,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0030766.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0029230.jpg,ISIC_0030766,ISIC_0029230,0.2742231488227844,0.273206353187561,0.432325757663628,1.5688918828964233,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_DF_0002.png,BCC,DF,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0026957.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0025731.jpg,ISIC_0026957,ISIC_0025731,0.1905729174613952,0.2576062083244324,0.7165440052603271,1.5821714401245117,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_DF_0003.png,BCC,DF,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0025691.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0030010.jpg,ISIC_0025691,ISIC_0030010,0.1062037348747253,0.3066980242729187,0.7360981325086302,1.5472958087921143,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_DF_0004.png,BCC,DF,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0033054.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0025260.jpg,ISIC_0033054,ISIC_0025260,0.0430532693862915,-0.0100013017654418,0.2699474390556091,1.5299538373947144,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_MEL_0000.png,BCC,MEL,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0033366.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0026282.jpg,ISIC_0033366,ISIC_0026282,0.2930919528007507,0.148465871810913,0.4289046161252131,1.5397953987121582,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_MEL_0001.png,BCC,MEL,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0026117.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0033203.jpg,ISIC_0026117,ISIC_0033203,0.3067283034324646,0.1784663796424865,0.5910333441552882,1.5492634773254395,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_MEL_0002.png,BCC,MEL,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0026056.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0026282.jpg,ISIC_0026056,ISIC_0026282,0.059960663318634,0.148465871810913,0.5834667053177716,1.5438721179962158,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_MEL_0003.png,BCC,MEL,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0026230.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0031236.jpg,ISIC_0026230,ISIC_0031236,0.0642563104629516,0.1963648796081543,0.4268393173073092,1.5431936979293823,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_MEL_0004.png,BCC,MEL,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0032959.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0028084.jpg,ISIC_0032959,ISIC_0028084,0.1673251986503601,0.2261728048324585,0.5299417595719349,1.5620471239089966,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_NV_0000.png,BCC,NV,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0028739.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0024931.jpg,ISIC_0028739,ISIC_0024931,0.2173495292663574,0.2162234187126159,0.6873563617705456,1.568105936050415,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_NV_0001.png,BCC,NV,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0028739.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0025509.jpg,ISIC_0028739,ISIC_0025509,0.2173495292663574,0.3413922786712646,0.7369185113186445,1.5400644540786743,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_NV_0002.png,BCC,NV,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0024931.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0028739.jpg,ISIC_0024931,ISIC_0028739,0.2162234187126159,0.2173495292663574,0.6247388055717696,1.568105936050415,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_NV_0003.png,BCC,NV,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0028486.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0024931.jpg,ISIC_0028486,ISIC_0024931,0.191889226436615,0.2162234187126159,0.7128819112847783,1.5710101127624512,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_NV_0004.png,BCC,NV,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0025509.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0024931.jpg,ISIC_0025509,ISIC_0024931,0.3413922786712646,0.2162234187126159,0.36836866611467933,1.5626440048217773,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_VASC_0000.png,BCC,VASC,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0029779.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0027819.jpg,ISIC_0029779,ISIC_0027819,0.0260919332504272,0.1435422897338867,0.3312508835502193,1.5637215375900269,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_VASC_0001.png,BCC,VASC,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0030177.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0025467.jpg,ISIC_0030177,ISIC_0025467,0.1348188519477844,0.0807825326919555,0.6499435149534483,1.577620506286621,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_VASC_0002.png,BCC,VASC,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0033019.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0032185.jpg,ISIC_0033019,ISIC_0032185,0.3110702037811279,0.3589585423469543,0.3385261851601906,1.561215877532959,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_VASC_0003.png,BCC,VASC,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0027675.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0030778.jpg,ISIC_0027675,ISIC_0030778,0.2032831311225891,0.0413448810577392,0.45614720517689866,1.5697728395462036,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BCC\BCC_near_VASC_0004.png,BCC,VASC,a dermoscopic image of basal cell carcinoma,a dermoscopic image of basal cell carcinoma,dataset\ISIC2018_Task3_Training_Input\ISIC_0024436.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0028671.jpg,ISIC_0024436,ISIC_0028671,0.3368055820465088,0.1014941930770874,0.3396803317091035,1.5615551471710205,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BKL\BKL_near_AKIEC_0000.png,BKL,AKIEC,a dermoscopic image of benign keratosis-like lesion,a dermoscopic image of benign keratosis-like lesion,dataset\ISIC2018_Task3_Training_Input\ISIC_0027320.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0027859.jpg,ISIC_0027320,ISIC_0027859,-0.0072276592254638,-0.1782256960868835,0.7122436476207727,1.538137674331665,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BKL\BKL_near_AKIEC_0001.png,BKL,AKIEC,a dermoscopic image of benign keratosis-like lesion,a dermoscopic image of benign keratosis-like lesion,dataset\ISIC2018_Task3_Training_Input\ISIC_0030876.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0028611.jpg,ISIC_0030876,ISIC_0028611,-0.0953842401504516,-0.1879311800003051,0.6411932480738158,1.5491453409194946,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BKL\BKL_near_AKIEC_0002.png,BKL,AKIEC,a dermoscopic image of benign keratosis-like lesion,a dermoscopic image of benign keratosis-like lesion,dataset\ISIC2018_Task3_Training_Input\ISIC_0027680.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0024881.jpg,ISIC_0027680,ISIC_0024881,-0.0715201497077941,-0.0627918243408203,0.4558565832757768,1.5584701299667358,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BKL\BKL_near_AKIEC_0003.png,BKL,AKIEC,a dermoscopic image of benign keratosis-like lesion,a dermoscopic image of benign keratosis-like lesion,dataset\ISIC2018_Task3_Training_Input\ISIC_0024312.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0031537.jpg,ISIC_0024312,ISIC_0031537,-0.0857554078102111,-0.1773802638053894,0.5849535646440984,1.5394673347473145,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BKL\BKL_near_AKIEC_0004.png,BKL,AKIEC,a dermoscopic image of benign keratosis-like lesion,a dermoscopic image of benign keratosis-like lesion,dataset\ISIC2018_Task3_Training_Input\ISIC_0029802.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0025842.jpg,ISIC_0029802,ISIC_0025842,-0.0966348648071289,-0.0252262949943542,0.617528769413938,1.5647836923599243,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BKL\BKL_near_BCC_0000.png,BKL,BCC,a dermoscopic image of benign keratosis-like lesion,a dermoscopic image of benign keratosis-like lesion,dataset\ISIC2018_Task3_Training_Input\ISIC_0032481.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0029329.jpg,ISIC_0032481,ISIC_0029329,0.1283231973648071,0.0449085235595703,0.37408362055870037,1.5394463539123535,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BKL\BKL_near_BCC_0001.png,BKL,BCC,a dermoscopic image of benign keratosis-like lesion,a dermoscopic image of benign keratosis-like lesion,dataset\ISIC2018_Task3_Training_Input\ISIC_0029991.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0030812.jpg,ISIC_0029991,ISIC_0030812,-0.0511372685432434,-0.1064664721488952,0.3295989214903656,1.558658242225647,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BKL\BKL_near_BCC_0002.png,BKL,BCC,a dermoscopic image of benign keratosis-like lesion,a dermoscopic image of benign keratosis-like lesion,dataset\ISIC2018_Task3_Training_Input\ISIC_0030396.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0034070.jpg,ISIC_0030396,ISIC_0034070,0.0420156121253967,0.0004796385765075,0.6006390940699563,1.5778379440307617,42,100,5.0,0.3,32,0.0
experiments\sd_lora_ici_outputs\BKL\BKL_near_BCC_0003.png,BKL,BCC,a dermoscopic image of benign keratosis-like lesion,a dermoscopic image of benign keratosis-like lesion,dataset\ISIC2018_Task3_Training_Input\ISIC_0030649.jpg,dataset\ISIC2018_Task3_Training_Input\ISIC_0032481.jpg,ISIC_0030649,ISIC_0032481,-0.0259525179862976,0.1283231973648071,0.44127086129846715,1.557178258895874,42,100,5.0,0.3,32,0.0
